Primary Need,Priority Score,Account ID,Account,Category,City,2026 Purchased,2026 Cases,2026 Invoice Count,Latest 2026 Invoice,Account Type,Contact Ready,Contact Summary,Ordering Route,Priority Products Present,Priority Products To Review,Recommended Owner,Next Action,Portal Account URL
local-chain store-level work,8309.35,13835,Woodman's Store - North Aurora (35),Vendor - Retail,North Aurora,879.00,9.00,5,2026-05-31,store-led local chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Priority Liqueur","Thresh & Winnow, Rye, Dry Gin",Prior visiting/order-taking rep; otherwise geographic assignment,"Confirm the location-level buyer and current order status; keep the store high priority until it is ordering for fall, then monitor cadence and shelf execution.",https://portal.koval-distillery.com/#/relationship-management/account/view/13835
local-chain store-level work,8274.20,113158,Woodmans - Buffalo Grove,Vendor - Retail,Buffalo Grove,1248.00,9.00,4,2026-05-31,store-led local chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye, Dry Gin","Cranberry Gin, Thresh & Winnow",Prior visiting/order-taking rep; otherwise geographic assignment,"Confirm the location-level buyer and current order status; keep the store high priority until it is ordering for fall, then monitor cadence and shelf execution.",https://portal.koval-distillery.com/#/relationship-management/account/view/113158
local-chain store-level work,8107.30,38113,Heinen's Grocery Store - Lake Bluff,Vendor - Retail,Lake Bluff,822.00,6.00,5,2026-05-31,store-led local chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Rye, Dry Gin","Cranberry Gin, Thresh & Winnow",Prior visiting/order-taking rep; otherwise geographic assignment,"Confirm the location-level buyer and current order status; keep the store high priority until it is ordering for fall, then monitor cadence and shelf execution.",https://portal.koval-distillery.com/#/relationship-management/account/view/38113
local-chain store-level work,8106.50,15866,Woodman's Store # 33 - Carpentersville,Vendor - Retail,Carpentersville,990.00,9.00,4,2026-05-31,store-led local chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Priority Liqueur","Thresh & Winnow, Rye, Dry Gin",Prior visiting/order-taking rep; otherwise geographic assignment,"Confirm the location-level buyer and current order status; keep the store high priority until it is ordering for fall, then monitor cadence and shelf execution.",https://portal.koval-distillery.com/#/relationship-management/account/view/15866
local-chain store-level work,8086.60,31515,Heinen's Grocery Store,Vendor - Retail,Glenview,1044.00,8.00,4,2026-05-31,store-led local chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Dry Gin, Priority Liqueur","Cranberry Gin, Thresh & Winnow, Rye",Prior visiting/order-taking rep; otherwise geographic assignment,"Confirm the location-level buyer and current order status; keep the store high priority until it is ordering for fall, then monitor cadence and shelf execution.",https://portal.koval-distillery.com/#/relationship-management/account/view/31515
local-chain store-level work,7487.10,215462,Woodman's Food Market #44 - Bloomingdale,Vendor - Retail,Bloomingdale,714.00,6.00,3,2026-05-31,store-led local chain,no,missing,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Rye, Dry Gin",Thresh & Winnow,Prior visiting/order-taking rep; otherwise geographic assignment,"Confirm the location-level buyer and current order status; keep the store high priority until it is ordering for fall, then monitor cadence and shelf execution.",https://portal.koval-distillery.com/#/relationship-management/account/view/215462
call today,7752.78,40585,Sovereign Tap,Vendor - Bar,Plainfield,5246.81,38.17,5,2026-05-31,independent/local,yes,Dakota Defever / dakotadefever@gmail.com / 630) 465-6421,live Salesreport/OPS lookup required,"Cranberry Gin, Thresh & Winnow, Rye","Bourbon, Dry Gin",Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Sovereign Tap on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/40585
call today,5194.80,60696,Bitter Pops,Vendor - Retail,Chicago,2172.00,18.00,7,2026-05-31,independent/local,yes,Nick Gil / ngil@bitterpops.com / 847-220-3852,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",none from verified history,Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Bitter Pops on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/60696
call today,5042.30,14138,Bottles and Cans,Vendor - Retail,Chicago,2022.00,27.00,5,2026-05-31,independent/local,yes,Carly Katz / carly@bottlesandcans.com / 773-857-2270,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Dry Gin",none from verified history,Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Bottles and Cans on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/14138
call today,4847.10,36990,Eataly,Vendor - Retail,Chicago,2314.00,25.00,4,2026-05-31,independent/local,yes,Beverage Manager / MaxsimoSerradimigni@eataly.com,live Salesreport/OPS lookup required,"Bourbon, Cranberry Gin, Thresh & Winnow, Rye, Priority Liqueur",Dry Gin,Sales-team territory/relationship assignment pending,"Check live invoices and activities first, then contact Eataly on its recorded cadence; confirm inventory, ordering preference, buyer route, and next reorder date.",https://portal.koval-distillery.com/#/relationship-management/account/view/36990
