sequence,action,kind,source,target,width,height,mean,stddev
1,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_007_2020-Q1_Form_941_Return.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_001-2020-01_2020-Q1_Form_941_Return.pdf,,,,
2,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_008_2020-Q2_Form_941_Return.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_002-2020-01_2020-Q2_Form_941_Return.pdf,,,,
3,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_009_2020-Q4_Form_941_Return.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_003-2020-01_2020-Q4_Form_941_Return.pdf,,,,
4,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_015_2020-Q1_Form_941-X_Signed.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_004-2020-01_2020-Q1_Form_941-X_Signed.pdf,,,,
5,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_016_2020-Q2_Form_941-X_Signed.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_005-2020-01_2020-Q2_Form_941-X_Signed.pdf,,,,
6,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_017_2020-Q4_Form_941-X_Signed.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_006-2020-01_2020-Q4_Form_941-X_Signed.pdf,,,,
7,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_035_2020-04-08_PPP_Loan_Documents.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_007-2020-04_PPP_Loan_Documents.pdf,,,,
8,move,email,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/001_2020-12-21-204142_if_it_passes_in_it_s_current_form.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_008-2020-12_if_it_passes_in_it_s_current_form_Email.pdf,,,,
9,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/001_2020-12-21-204142_if_it_passes_in_it_s_current_form/image001.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_009-2020-12_image001-att.png,,,,
10,move,email,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/002_2020-12-22-100838_Re_if_it_passes_in_it_s_current_form.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_010-2020-12_Re_if_it_passes_in_it_s_current_form_Email.pdf,,,,
11,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/002_2020-12-22-100838_Re_if_it_passes_in_it_s_current_form/image.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_011-2020-12_image-att.png,,,,
12,move,email,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/003_2020-12-22-161312_RE_if_it_passes_in_it_s_current_form.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_012-2020-12_RE_if_it_passes_in_it_s_current_form_Email.pdf,,,,
13,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/003_2020-12-22-161312_RE_if_it_passes_in_it_s_current_form/image001.png,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_013-2020-12_image001-att.png,,,,
14,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_002_2021_IRS_Notice_2021-23.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_014-2021-01_2021_IRS_Notice_2021-23.pdf,,,,
15,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_010_2021-Q1_Form_941_Return.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_015-2021-01_2021-Q1_Form_941_Return.pdf,,,,
16,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_018_2021-Q1_Form_941-X_Signed.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_016-2021-01_2021-Q1_Form_941-X_Signed.pdf,,,,
17,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_037_2021-01-19_PPP_Loan_Forgiveness_Application_3508S_Signed.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_017-2021-01_PPP_Loan_Forgiveness_Application_3508S_Signed.pdf,,,,
18,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_003_2022_ERC_Questionnaire.docx,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_018-2022-01_2022_ERC_Questionnaire.docx,,,,
19,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_005_2022_KOVAL_DISTILLERY_ERTC_Study_Report.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_019-2022-01_2022_KOVAL_DISTILLERY_ERTC_Study_Report.pdf,,,,
20,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_006_2022_KOVAL_DISTILLERY_ERTC_Breakdown_by_Employee_by_Quarter.xlsx,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_020-2022-01_2022_KOVAL_DISTILLERY_ERTC_Breakdown_by_Employee_by_Quarter.xlsx,,,,
21,move,document,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/Documents/D_001_2022-09-12_Leyton_ERC_LOE_Koval_Distillery.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_021-2022-09_Leyton_ERC_LOE_Koval_Distillery.pdf,,,,
22,move,email,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/004_2022-09-22-183606_Fwd_Leyton_and_Koval_Distillery_Recap_email_after_IA_call.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_022-2022-09_Fwd_Leyton_and_Koval_Distillery_Recap_email_after_IA_call_Email.pdf,,,,
23,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/004_2022-09-22-183606_Fwd_Leyton_and_Koval_Distillery_Recap_email_after_IA_call/ERC Questionnaire.docx,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_023-2022-09_ERC_Questionnaire-att.docx,,,,
24,move,attachment,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/004_2022-09-22-183606_Fwd_Leyton_and_Koval_Distillery_Recap_email_after_IA_call/Notice 2021-23.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_024-2022-09_Notice_2021-23-att.pdf,,,,
25,move,email,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/E-mails_numbered/005_2022-09-29-142622_Fwd_Leyton_and_Koval_Distillery_Recap_email_after_IA_call.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_025-2022-09_Fwd_Leyton_and_Koval_Distillery_Recap_email_after_IA_call_Email.pdf,,,,
