action,old_sequence,new_sequence,source,target
delete,483,,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_483-2025-12_IRS_Call_Notes.pdf,
delete,484,,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_484-2025-12_USPS_Tracking_No_Records_Screenshot.png,
rename,485,483,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_485-2025-12_Levin_Levy_Interest_Calculation.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_483-2025-12_Levin_Levy_Interest_Calculation.pdf
rename,486,484,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_486-2025-12_Levin_Levy_Demand_Letter_ERTC.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_484-2025-12_Levin_Levy_Demand_Letter_ERTC.pdf
rename,487,485,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_487-2025-12_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_485-2025-12_NOTICE_OF_MALPRACTICE_CLAIM_DEMAND_FOR_PAYMENT_KOVAL_Inc_Email.pdf
rename,488,486,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_488-2025-12_2025_ERTC_-_Levin&Levy_-_demand_letter_-_Dec_26-att.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_486-2025-12_2025_ERTC_-_Levin&Levy_-_demand_letter_-_Dec_26-att.pdf
rename,489,487,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_489-2025-12_2025_ERTC_-_Levin&Levy_-_interest_calculation_-_Dec_15-att.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_487-2025-12_2025_ERTC_-_Levin&Levy_-_interest_calculation_-_Dec_15-att.pdf
rename,490,488,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_490-2025-12_2025_ERTC_issue_KOVAL-att.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_488-2025-12_2025_ERTC_issue_KOVAL-att.pdf
rename,491,489,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_491-2025-12_irs-letter-att.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_489-2025-12_irs-letter-att.pdf
rename,492,490,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_492-2025-12_irs-letter-att.pdf,/Users/robert/Library/CloudStorage/Dropbox/2026-ERTC/discovery-production-one-folder/K_490-2025-12_irs-letter-att.pdf
